crawl,mimetype,pages,urls,%pages/crawl
CC-MAIN-2013-48,application/vnd.openxmlformats-officedocument.presentationml.presentation,2959,2673,0.0001
CC-MAIN-2013-48,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,3485,3014,0.0002
CC-MAIN-2013-48,application/vnd.openxmlformats-officedocument.wordprocessingml.document,19593,17852,0.0009
CC-MAIN-2013-48,application/vnd.wap.xhtml+xml,61544,60045,0.0027
CC-MAIN-2013-48,application/x-bibtex,31421,31247,0.0014
CC-MAIN-2013-48,application/x-bittorrent,8070,8011,0.0004
CC-MAIN-2013-48,application/x-bzip2,4899,4560,0.0002
CC-MAIN-2013-48,application/x-debian-package,86052,85386,0.0038
CC-MAIN-2013-48,application/x-download,12532,12302,0.0006
CC-MAIN-2013-48,application/x-endnote-refer,45451,45160,0.0020
CC-MAIN-2013-48,application/x-gzip,36699,36187,0.0016
CC-MAIN-2013-48,application/x-httpd-php,6886,6724,0.0003
CC-MAIN-2013-48,application/x-java-jnlp-file,11946,11136,0.0005
CC-MAIN-2013-48,application/x-javascript,13289,13249,0.0006
CC-MAIN-2013-48,application/x-json,62393,62298,0.0028
CC-MAIN-2013-48,application/x-mobipocket-ebook,34281,32717,0.0015
CC-MAIN-2013-48,application/x-msdownload,1693,1647,0.0001
CC-MAIN-2013-48,application/x-netcdf,24610,24432,0.0011
CC-MAIN-2013-48,application/x-rar-compressed,1075,1059,0.0000
CC-MAIN-2013-48,application/x-research-info-systems,86789,84519,0.0039
CC-MAIN-2013-48,application/x-shockwave-flash,7691,7348,0.0003
CC-MAIN-2013-48,application/x-tar,5571,5518,0.0002
CC-MAIN-2013-48,application/x-tex,16637,16462,0.0007
CC-MAIN-2013-48,application/x-troff-man,20280,18152,0.0009
CC-MAIN-2013-48,application/x-zip-compressed,12466,11817,0.0006
CC-MAIN-2013-48,application/xhtml+xml,1474364,1411435,0.0657
CC-MAIN-2013-48,application/xml,2102144,2061509,0.0936
CC-MAIN-2013-48,application/zip,109452,107778,0.0049
CC-MAIN-2013-48,audio/mp3,10120,9370,0.0005
CC-MAIN-2013-48,audio/mpeg,103975,89108,0.0046
CC-MAIN-2013-48,audio/x-mpegurl,32652,32456,0.0015
CC-MAIN-2013-48,audio/x-pn-realaudio,14317,13945,0.0006
CC-MAIN-2013-48,audio/x-scpls,62043,61299,0.0028
CC-MAIN-2013-48,audio/x-wav,363535,360691,0.0162
CC-MAIN-2013-48,binary/octet-stream,21233,21046,0.0009
CC-MAIN-2013-48,image/gif,796425,785610,0.0355
CC-MAIN-2013-48,image/jp2,43937,43559,0.0020
CC-MAIN-2013-48,image/jpeg,12104266,11930487,0.5390
CC-MAIN-2013-48,image/jpg,135361,133488,0.0060
CC-MAIN-2013-48,image/pjpeg,49062,46307,0.0022
CC-MAIN-2013-48,image/png,868667,856897,0.0387
CC-MAIN-2013-48,image/svg+xml,1517,1501,0.0001
CC-MAIN-2013-48,image/tiff,24059,23884,0.0011
CC-MAIN-2013-48,image/vnd.djvu,9115,9073,0.0004
CC-MAIN-2013-48,image/webp,42,42,0.0000
CC-MAIN-2013-48,message/rfc822,20859,20279,0.0009
CC-MAIN-2013-48,text/calendar,1556809,1510898,0.0693
CC-MAIN-2013-48,text/css,623,604,0.0000
CC-MAIN-2013-48,text/csv,85916,84387,0.0038
CC-MAIN-2013-48,text/directory,10703,10490,0.0005
CC-MAIN-2013-48,text/enriched,12267,11816,0.0005
