crawl,primary_language,pages,urls,%pages/crawl
CC-MAIN-2018-39,urd,960786,938765,0.0338
CC-MAIN-2018-39,uzb,313334,311677,0.0110
CC-MAIN-2018-39,ven,666,650,0.0000
CC-MAIN-2018-39,vie,21243376,21109045,0.7477
CC-MAIN-2018-39,vol,17323,17196,0.0006
CC-MAIN-2018-39,war,61664,61239,0.0022
CC-MAIN-2018-39,wol,2986,2920,0.0001
CC-MAIN-2018-39,xho,26922,26495,0.0009
CC-MAIN-2018-39,yid,38471,38160,0.0014
CC-MAIN-2018-39,yor,10500,10470,0.0004
CC-MAIN-2018-39,zha,1814,1784,0.0001
CC-MAIN-2018-39,zho,129632990,129097780,4.5626
CC-MAIN-2018-39,zul,21464,21393,0.0008
CC-MAIN-2018-43,<unknown>,140402705,140402705,4.6158
CC-MAIN-2018-43,aar,4872,4763,0.0002
CC-MAIN-2018-43,abk,5974,5963,0.0002
CC-MAIN-2018-43,afr,221168,219907,0.0073
CC-MAIN-2018-43,aka,1082,1045,0.0000
CC-MAIN-2018-43,amh,53482,53165,0.0018
CC-MAIN-2018-43,ara,22560241,22451064,0.7417
CC-MAIN-2018-43,asm,13601,13475,0.0004
CC-MAIN-2018-43,aym,2189,2132,0.0001
CC-MAIN-2018-43,aze,1119839,1115170,0.0368
CC-MAIN-2018-43,bak,31510,31478,0.0010
CC-MAIN-2018-43,bel,389551,387762,0.0128
CC-MAIN-2018-43,ben,1636669,1628672,0.0538
CC-MAIN-2018-43,bih,14293,14246,0.0005
CC-MAIN-2018-43,bis,3302,3232,0.0001
CC-MAIN-2018-43,blu,19277,19228,0.0006
CC-MAIN-2018-43,bod,35723,35619,0.0012
CC-MAIN-2018-43,bos,948243,944639,0.0312
CC-MAIN-2018-43,bre,39577,39330,0.0013
CC-MAIN-2018-43,bul,8362157,8294722,0.2749
CC-MAIN-2018-43,cat,5176059,5123260,0.1702
CC-MAIN-2018-43,ceb,44977,44903,0.0015
CC-MAIN-2018-43,ces,30950822,30544331,1.0175
CC-MAIN-2018-43,chr,1330,1328,0.0000
CC-MAIN-2018-43,cos,43405,42969,0.0014
CC-MAIN-2018-43,crs,2226,2170,0.0001
CC-MAIN-2018-43,cym,203962,202310,0.0067
CC-MAIN-2018-43,dan,11336692,11203459,0.3727
CC-MAIN-2018-43,deu,151934809,149743486,4.9949
CC-MAIN-2018-43,div,36547,36471,0.0012
CC-MAIN-2018-43,dzo,1685,1681,0.0001
CC-MAIN-2018-43,ell,14863656,14742221,0.4886
CC-MAIN-2018-43,eng,1311380573,1294592847,43.1122
CC-MAIN-2018-43,epo,132827,132317,0.0044
CC-MAIN-2018-43,est,3119637,3085366,0.1026
CC-MAIN-2018-43,eus,575282,570039,0.0189
CC-MAIN-2018-43,fao,82953,82077,0.0027
CC-MAIN-2018-43,fas,20521752,20363566,0.6747
CC-MAIN-2018-43,fij,2145,2015,0.0001
CC-MAIN-2018-43,fin,10358990,10238313,0.3406
CC-MAIN-2018-43,fra,136090811,134017942,4.4740
CC-MAIN-2018-43,fry,74499,74154,0.0024
CC-MAIN-2018-43,gla,37701,37043,0.0012
CC-MAIN-2018-43,gle,103301,102746,0.0034
CC-MAIN-2018-43,glg,670052,663245,0.0220
CC-MAIN-2018-43,glv,8427,8193,0.0003
CC-MAIN-2018-43,got,1027,1025,0.0000
CC-MAIN-2018-43,grn,25528,25226,0.0008
CC-MAIN-2018-43,guj,167118,166397,0.0055
CC-MAIN-2018-43,hat,39439,39229,0.0013
CC-MAIN-2018-43,hau,38791,37390,0.0013
CC-MAIN-2018-43,haw,6804,6728,0.0002
CC-MAIN-2018-43,heb,4796987,4734122,0.1577
CC-MAIN-2018-43,hin,2237424,2223011,0.0736
CC-MAIN-2018-43,hrv,4331744,4301291,0.1424
