domain,pages,urls,hosts,%pages,%urls
ucalgary.ca,109676,108687,203,0.004047,0.004036
louisvuitton.com,109535,108892,27,0.004042,0.004044
pchome.com.tw,109515,109385,18,0.004041,0.004062
telegra.ph,109338,83202,2,0.004035,0.003090
php.net,109093,107960,15,0.004026,0.004009
ifeng.com,108954,108683,371,0.004021,0.004036
uniroma1.it,108924,107495,210,0.004020,0.003992
jetbrains.com,108717,106669,39,0.004012,0.003961
cvut.cz,108608,107299,446,0.004008,0.003984
abril.com.br,108605,108081,32,0.004008,0.004013
ndl.go.jp,108597,108405,23,0.004007,0.004026
rs-online.com,108368,106496,35,0.003999,0.003955
ufmg.br,108225,107155,324,0.003994,0.003979
twitch.tv,107826,107196,22,0.003979,0.003981
tripod.com,107664,106636,6348,0.003973,0.003960
catholic.net,107556,107450,24,0.003969,0.003990
debian.net,107552,107548,76,0.003969,0.003994
sinica.edu.tw,107501,106365,260,0.003967,0.003950
ojp.gov,107437,106718,34,0.003965,0.003963
nrw.de,107242,107042,486,0.003957,0.003975
lu.se,107237,106571,349,0.003957,0.003957
lighthouseapp.com,106995,106755,181,0.003948,0.003964
telegraph.co.uk,106852,104719,18,0.003943,0.003889
service.gov.uk,106664,106396,155,0.003936,0.003951
china.com,106477,106368,80,0.003929,0.003950
fiocruz.br,106365,105346,303,0.003925,0.003912
hostadvice.com,106284,105990,40,0.003922,0.003936
corriere.it,106166,105753,155,0.003918,0.003927
hal.science,106147,104442,147,0.003917,0.003878
zakon.kz,105789,102691,10,0.003904,0.003813
usc.edu,105718,105223,579,0.003901,0.003907
uj.edu.pl,105581,104736,693,0.003896,0.003889
rezdy.com,105208,105203,823,0.003882,0.003907
playstation.com,105071,104014,26,0.003877,0.003862
uni-muenchen.de,105043,104950,649,0.003876,0.003897
