,crawl,date,type,size
1631,CC-MAIN-2019-51,2019-12-16,fetched,10167859677
1632,CC-MAIN-2019-51,2019-12-16,gone,1460497975
1633,CC-MAIN-2019-51,2019-12-16,redir_temp,434111522
1634,CC-MAIN-2019-51,2019-12-16,redir_perm,667307093
1635,CC-MAIN-2019-51,2019-12-16,notmodified,1409166277
1636,CC-MAIN-2019-51,2019-12-16,duplicate,1288089277
1637,CC-MAIN-2019-51,2019-12-16,orphan,507726905
1670,CC-MAIN-2020-05,2020-01-27,unfetched,2831108006
1671,CC-MAIN-2020-05,2020-01-27,fetched,10411154186
1672,CC-MAIN-2020-05,2020-01-27,gone,1346879324
1673,CC-MAIN-2020-05,2020-01-27,redir_temp,415489877
1674,CC-MAIN-2020-05,2020-01-27,redir_perm,612057268
1675,CC-MAIN-2020-05,2020-01-27,notmodified,1376661791
1676,CC-MAIN-2020-05,2020-01-27,duplicate,1176918093
1677,CC-MAIN-2020-05,2020-01-27,orphan,1914887505
1710,CC-MAIN-2020-10,2020-03-02,unfetched,2946774172
1711,CC-MAIN-2020-10,2020-03-02,fetched,10719606051
1712,CC-MAIN-2020-10,2020-03-02,gone,1374401689
1713,CC-MAIN-2020-10,2020-03-02,redir_temp,420495999
1714,CC-MAIN-2020-10,2020-03-02,redir_perm,622044013
1715,CC-MAIN-2020-10,2020-03-02,notmodified,1357438756
1716,CC-MAIN-2020-10,2020-03-02,duplicate,1178295354
1717,CC-MAIN-2020-10,2020-03-02,orphan,1299269232
1752,CC-MAIN-2020-16,2020-04-13,unfetched,2916211638
1753,CC-MAIN-2020-16,2020-04-13,fetched,11231558010
1754,CC-MAIN-2020-16,2020-04-13,gone,1569635611
1755,CC-MAIN-2020-16,2020-04-13,redir_temp,430415403
1756,CC-MAIN-2020-16,2020-04-13,redir_perm,630128775
1757,CC-MAIN-2020-16,2020-04-13,notmodified,1338108574
1758,CC-MAIN-2020-16,2020-04-13,duplicate,1327513455
1759,CC-MAIN-2020-16,2020-04-13,orphan,937170294
1794,CC-MAIN-2020-24,2020-06-08,unfetched,2611718412
1795,CC-MAIN-2020-24,2020-06-08,fetched,11490176195
1796,CC-MAIN-2020-24,2020-06-08,gone,1382791180
1797,CC-MAIN-2020-24,2020-06-08,redir_temp,379969069
1798,CC-MAIN-2020-24,2020-06-08,redir_perm,536206995
1799,CC-MAIN-2020-24,2020-06-08,notmodified,1284102995
1800,CC-MAIN-2020-24,2020-06-08,duplicate,1192874017
1801,CC-MAIN-2020-24,2020-06-08,orphan,2219940408
